epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
1;252.149;1.71656;4.39154;1.58782;0.2664;0.05204;0.00343;0.00154;2.42123;81.4919;2.32497;0.00332834;0.00332834;0.070045
2;489.51;1.57021;3.97105;1.49912;0.00399;0.50271;0.01075;0.00697;1.50298;10.9361;1.35791;0.00659572;0.00659572;0.039979
3;722.137;1.42529;3.78897;1.40659;0.00313;0.49084;0.00842;0.00548;1.52365;16.5027;1.33901;0.0097971;0.0097971;0.00984708
4;955.024;1.33398;3.66555;1.35239;0.03353;0.2085;0.01611;0.01186;1.25225;13.2278;1.18792;0.009703;0.009703;0.009703
5;1187.79;1.25289;3.55295;1.3019;0.0049;0.70404;0.01722;0.01244;1.16957;7.96505;1.14438;0.009604;0.009604;0.009604
6;1421.08;1.19766;3.45778;1.26832;0.53866;0.04867;0.0276;0.02133;1.09368;10.6652;1.09338;0.009505;0.009505;0.009505
7;1653.8;1.14854;3.37327;1.23938;0.46305;0.04956;0.02881;0.02147;1.11593;5.74501;1.1065;0.009406;0.009406;0.009406
8;1886.28;1.11776;3.30175;1.22188;0.37005;0.05599;0.03189;0.024;1.03629;6.58163;1.0593;0.009307;0.009307;0.009307
9;2119.66;1.09927;3.24503;1.20317;0.26999;0.07027;0.04041;0.03218;1.01242;9.56676;1.06028;0.009208;0.009208;0.009208
10;2352.25;1.0779;3.18121;1.19219;0.24204;0.09153;0.04421;0.03371;0.96682;7.29305;1.01725;0.009109;0.009109;0.009109
11;2585.03;1.05855;3.12905;1.18942;0.15516;0.11268;0.05827;0.04703;0.9606;5.29634;1.02233;0.00901;0.00901;0.00901
12;2817.71;1.04667;3.07043;1.17623;0.1485;0.12146;0.05992;0.04752;0.94763;6.33807;1.02689;0.008911;0.008911;0.008911
13;3050.65;1.0256;3.01166;1.16441;0.14026;0.14598;0.08079;0.06548;0.91003;6.43765;0.99687;0.008812;0.008812;0.008812
14;3283.9;1.018;2.96348;1.15703;0.11759;0.15072;0.07898;0.06333;0.91976;8.14119;1.00074;0.008713;0.008713;0.008713
15;3516.47;1.00425;2.91052;1.14687;0.13853;0.16064;0.09182;0.07399;0.89946;7.34401;0.97976;0.008614;0.008614;0.008614
16;3749.34;0.99374;2.85745;1.13802;0.12384;0.18293;0.10066;0.08229;0.87811;6.14832;0.96678;0.008515;0.008515;0.008515
