epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.4094,2.34791,4.54844,2.56608,0,0,0,0,nan,nan,nan,0.00328205,0.00328205,0.0704615
2,193.311,2.52262,4.12565,2.80081,0.00127,0.00441,0.00051,7e-05,nan,nan,nan,0.00654989,0.00654989,0.040396
3,288.042,2.40096,3.92864,2.63333,0,0,0,0,4.96572,453.81,105.684,0.00975173,0.00975173,0.0102646
4,383.229,2.34023,3.89353,2.57515,0.00102,0.0095,0.00038,8e-05,nan,nan,nan,0.009703,0.009703,0.009703
5,478.498,2.27729,3.77298,2.47286,0.03265,0.04286,0.00992,0.00363,2.63747,39.5245,5.31109,0.009604,0.009604,0.009604
6,573.658,2.21111,3.70105,2.44897,0.03356,0.10123,0.01701,0.00704,2.54649,6.77947,3.16712,0.009505,0.009505,0.009505
7,668.552,2.16524,3.62765,2.41058,0.16667,0.0456,0.01119,0.00475,2.94303,5.11832,3.97486,0.009406,0.009406,0.009406
8,763.323,2.09731,3.55711,2.33091,0.0388,0.03418,0.02312,0.0112,2.34626,4.02636,2.62577,0.009307,0.009307,0.009307
9,858.18,2.07704,3.49415,2.26231,0.07127,0.02288,0.02447,0.00937,2.31524,15.5218,2.53504,0.009208,0.009208,0.009208
10,953.245,2.03598,3.46953,2.21036,0.1411,0.09623,0.02967,0.01223,2.22087,4.18943,2.36683,0.009109,0.009109,0.009109
11,1048.12,1.98537,3.42001,2.18076,0.14692,0.07879,0.02806,0.0101,2.26744,3.52823,2.54045,0.00901,0.00901,0.00901
12,1143.25,1.95588,3.33403,2.14438,0.0402,0.10813,0.02621,0.01221,2.04583,4.77119,2.2587,0.008911,0.008911,0.008911
13,1237.95,1.89109,3.26938,2.0846,0.16779,0.0436,0.0312,0.01444,nan,nan,nan,0.008812,0.008812,0.008812
14,1333.02,1.89255,3.25951,2.08046,0.11741,0.14422,0.05831,0.02762,2.0041,22.6579,2.22166,0.008713,0.008713,0.008713
15,1427.9,1.87159,3.23028,2.04263,0.0729,0.09856,0.04984,0.02269,2.00553,3.33894,2.16022,0.008614,0.008614,0.008614
16,1522.83,1.86395,3.15903,2.03537,0.04505,0.11508,0.02845,0.01209,2.18184,3.55928,2.36789,0.008515,0.008515,0.008515
17,1617.8,1.80615,3.13756,1.9997,0.08982,0.12735,0.05063,0.02731,1.94816,3.84192,2.07272,0.008416,0.008416,0.008416
18,1712.8,1.76483,3.08246,1.94306,0.0964,0.15088,0.06594,0.03446,1.97069,3.4689,2.10178,0.008317,0.008317,0.008317
19,1807.6,1.74569,3.00639,1.91323,0.09679,0.04965,0.05148,0.02617,2.04946,3.37955,2.10806,0.008218,0.008218,0.008218
20,1902.54,1.74585,3.02004,1.89583,0.08001,0.13238,0.05031,0.02465,1.95657,3.23126,2.09259,0.008119,0.008119,0.008119
21,1997.36,1.67429,2.89364,1.84037,0.10835,0.1724,0.07811,0.03821,1.78834,2.98818,1.94348,0.00802,0.00802,0.00802
22,2092.43,1.66214,2.93663,1.85397,0.11053,0.16162,0.06105,0.02896,1.84804,3.02729,2.03842,0.007921,0.007921,0.007921
23,2187.08,1.65428,2.88243,1.82726,0.09292,0.1382,0.06622,0.03361,1.89734,3.13036,1.99949,0.007822,0.007822,0.007822
24,2281.96,1.6322,2.84596,1.81504,0.12131,0.1634,0.07732,0.04143,1.76345,3.00554,1.92676,0.007723,0.007723,0.007723
25,2376.82,1.61756,2.82209,1.79818,0.08153,0.16228,0.05349,0.02646,1.82435,3.07967,1.91641,0.007624,0.007624,0.007624
26,2471.66,1.58904,2.77977,1.77482,0.10805,0.13437,0.06762,0.03751,1.78818,3.19546,1.91107,0.007525,0.007525,0.007525
27,2566.36,1.54957,2.79994,1.75053,0.08661,0.12999,0.06219,0.03408,1.74147,2.89604,1.82587,0.007426,0.007426,0.007426
28,2661.1,1.55357,2.77343,1.74912,0.12727,0.16876,0.07732,0.04522,1.72124,3.00564,1.87457,0.007327,0.007327,0.007327
29,2755.95,1.53575,2.74343,1.72024,0.1127,0.20134,0.07747,0.03963,1.7627,2.96494,1.86336,0.007228,0.007228,0.007228
30,2850.84,1.52817,2.67682,1.71471,0.10978,0.14706,0.08275,0.04635,1.84401,3.21712,1.96293,0.007129,0.007129,0.007129
31,2945.67,1.54825,2.68238,1.72792,0.0768,0.14262,0.06881,0.03846,1.98518,3.23039,2.04119,0.00703,0.00703,0.00703
32,3040.56,1.47941,2.6244,1.67128,0.13196,0.21379,0.08617,0.04688,1.7013,2.74137,1.79948,0.006931,0.006931,0.006931
33,3135.43,1.48485,2.63268,1.67773,0.12101,0.19645,0.08965,0.05306,1.67233,2.8071,1.82177,0.006832,0.006832,0.006832
34,3230.39,1.46462,2.5876,1.67259,0.09448,0.199,0.0659,0.03592,1.67927,2.93137,1.8884,0.006733,0.006733,0.006733
35,3325,1.4489,2.59071,1.6615,0.16472,0.19395,0.09819,0.05754,1.74376,2.88646,1.9087,0.006634,0.006634,0.006634
36,3420,1.4118,2.57084,1.63374,0.13219,0.20276,0.10028,0.06615,1.63196,2.78318,1.75512,0.006535,0.006535,0.006535
37,3514.89,1.44936,2.54712,1.63791,0.1106,0.1606,0.07483,0.04351,1.67896,2.96716,1.77597,0.006436,0.006436,0.006436
38,3609.76,1.39485,2.51319,1.61551,0.13146,0.24968,0.11013,0.06724,1.59376,2.63634,1.74124,0.006337,0.006337,0.006337
39,3704.64,1.40232,2.50981,1.61118,0.13396,0.23705,0.10459,0.06063,1.59907,2.70116,1.75366,0.006238,0.006238,0.006238
40,3799.48,1.39171,2.4701,1.60882,0.11363,0.18149,0.09555,0.05661,1.75573,2.88644,1.81115,0.006139,0.006139,0.006139
41,3894.11,1.38021,2.45094,1.58874,0.12941,0.26642,0.09811,0.05797,1.5853,2.66521,1.75668,0.00604,0.00604,0.00604
42,3988.96,1.36215,2.43787,1.57165,0.1375,0.22177,0.09512,0.05915,1.56026,2.7253,1.72373,0.005941,0.005941,0.005941
43,4083.59,1.36819,2.44446,1.59606,0.11293,0.2244,0.11329,0.07019,1.51214,2.72398,1.69447,0.005842,0.005842,0.005842
44,4178.51,1.32386,2.39813,1.55595,0.12215,0.24856,0.11284,0.06956,1.47977,2.55402,1.64339,0.005743,0.005743,0.005743
45,4273.05,1.32132,2.36317,1.54892,0.13484,0.26711,0.10462,0.06516,1.49189,2.55187,1.64305,0.005644,0.005644,0.005644
46,4367.85,1.27987,2.35528,1.52752,0.1392,0.22762,0.10771,0.06408,1.53189,2.66913,1.68341,0.005545,0.005545,0.005545
47,4462.61,1.29542,2.33416,1.53063,0.15818,0.25406,0.12649,0.08103,1.55209,2.57777,1.6705,0.005446,0.005446,0.005446
48,4557.62,1.31618,2.3392,1.54136,0.1478,0.22898,0.11629,0.07711,1.54961,2.76159,1.74988,0.005347,0.005347,0.005347
49,4652.32,1.28923,2.34016,1.51634,0.15099,0.24359,0.12101,0.07849,1.52883,2.55325,1.6664,0.005248,0.005248,0.005248
50,4747.12,1.30088,2.29398,1.53147,0.1392,0.25478,0.11478,0.07205,1.45828,2.62058,1.65189,0.005149,0.005149,0.005149
51,4841.8,1.23217,2.23822,1.48366,0.14002,0.22543,0.12639,0.08184,1.50374,2.62625,1.67386,0.00505,0.00505,0.00505
52,4936.77,1.24574,2.24593,1.49444,0.15545,0.25264,0.11614,0.07731,1.45942,2.67407,1.62384,0.004951,0.004951,0.004951
53,5031.42,1.25562,2.25878,1.50119,0.17244,0.25598,0.13435,0.08671,1.49524,2.49326,1.6465,0.004852,0.004852,0.004852
54,5126.38,1.25537,2.22538,1.49246,0.15534,0.27914,0.13292,0.08848,1.40558,2.43651,1.59511,0.004753,0.004753,0.004753
55,5221.16,1.23007,2.19784,1.48386,0.13483,0.25041,0.13308,0.08949,1.4353,2.52559,1.62696,0.004654,0.004654,0.004654
56,5316.16,1.20803,2.16204,1.44759,0.16435,0.2115,0.12761,0.08044,1.45157,2.57794,1.59872,0.004555,0.004555,0.004555
57,5410.85,1.23211,2.20948,1.47692,0.18728,0.28339,0.14975,0.09886,1.43945,2.41425,1.59001,0.004456,0.004456,0.004456
58,5505.82,1.2042,2.15489,1.45963,0.16873,0.23021,0.14179,0.09342,1.42333,2.45711,1.60269,0.004357,0.004357,0.004357
59,5600.51,1.19189,2.15634,1.4668,0.16488,0.24525,0.11505,0.07205,1.44327,2.573,1.629,0.004258,0.004258,0.004258
60,5695.31,1.1739,2.09091,1.43635,0.17534,0.2867,0.13499,0.08969,1.43201,2.47087,1.5722,0.004159,0.004159,0.004159
61,5789.93,1.17825,2.10217,1.43967,0.1714,0.24572,0.14543,0.09637,1.39223,2.38374,1.59096,0.00406,0.00406,0.00406
62,5884.85,1.16979,2.0924,1.43627,0.17467,0.25565,0.14407,0.09777,1.35035,2.40196,1.56856,0.003961,0.003961,0.003961
63,5979.47,1.14561,2.05331,1.42388,0.20454,0.29143,0.15349,0.10522,1.4181,2.52685,1.60052,0.003862,0.003862,0.003862
64,6074.38,1.1547,2.0521,1.42682,0.18097,0.22043,0.14949,0.09859,1.48139,2.57954,1.60557,0.003763,0.003763,0.003763
65,6169.03,1.11719,2.02537,1.392,0.18169,0.28078,0.15395,0.10408,1.38022,2.45737,1.55267,0.003664,0.003664,0.003664
66,6263.85,1.13789,2.00874,1.40424,0.17469,0.2693,0.16124,0.10644,1.38252,2.35827,1.53676,0.003565,0.003565,0.003565
67,6358.67,1.11242,2.01815,1.39279,0.19323,0.25974,0.1509,0.10362,1.36467,2.3594,1.57723,0.003466,0.003466,0.003466
68,6453.51,1.11239,1.98001,1.39663,0.15037,0.29583,0.13325,0.08992,1.37719,2.6018,1.55545,0.003367,0.003367,0.003367
69,6548.16,1.11885,1.98652,1.3961,0.14811,0.33141,0.13074,0.08861,1.38464,2.70165,1.57348,0.003268,0.003268,0.003268
70,6642.97,1.09462,1.95466,1.37579,0.14061,0.31261,0.1204,0.08113,1.36361,2.50825,1.57794,0.003169,0.003169,0.003169
71,6737.61,1.11967,1.93927,1.39271,0.15727,0.27522,0.14735,0.1029,1.3749,2.45042,1.53991,0.00307,0.00307,0.00307
72,6832.41,1.11017,1.95528,1.39392,0.17333,0.27846,0.16553,0.11559,1.36344,2.34133,1.55327,0.002971,0.002971,0.002971
73,6927.1,1.09527,1.89768,1.3643,0.18949,0.26116,0.17092,0.11515,1.39852,2.35386,1.561,0.002872,0.002872,0.002872
74,7021.82,1.07933,1.88327,1.35899,0.18708,0.25976,0.16357,0.11625,1.3419,2.38281,1.54308,0.002773,0.002773,0.002773
75,7116.63,1.0789,1.89049,1.37127,0.20781,0.21442,0.16759,0.12015,1.33379,2.37124,1.51379,0.002674,0.002674,0.002674
76,7211.59,1.06146,1.82701,1.34004,0.17812,0.26163,0.16775,0.11685,1.34547,2.37081,1.50113,0.002575,0.002575,0.002575
77,7306.31,1.04527,1.83445,1.33029,0.18665,0.24559,0.15821,0.10841,1.32747,2.35176,1.51768,0.002476,0.002476,0.002476
78,7401.05,1.04175,1.82735,1.33782,0.18228,0.24094,0.15719,0.10784,1.30993,2.34741,1.51484,0.002377,0.002377,0.002377
79,7495.65,1.02836,1.80319,1.33311,0.16101,0.3309,0.16931,0.12226,1.30861,2.35355,1.48545,0.002278,0.002278,0.002278
80,7590.62,1.03335,1.80188,1.32736,0.16795,0.28868,0.16683,0.11948,1.3143,2.31793,1.50181,0.002179,0.002179,0.002179
81,7685.15,1.01505,1.77648,1.32333,0.16643,0.32173,0.17588,0.12244,1.36148,2.3148,1.53143,0.00208,0.00208,0.00208
82,7780.09,1.02185,1.77122,1.32123,0.19542,0.29141,0.17714,0.12599,1.30084,2.28167,1.48736,0.001981,0.001981,0.001981
83,7874.81,0.99994,1.72944,1.31081,0.18554,0.30972,0.169,0.12085,1.31292,2.32767,1.51542,0.001882,0.001882,0.001882
84,7969.63,0.9894,1.6834,1.30331,0.20891,0.23226,0.17488,0.1262,1.28769,2.3241,1.48818,0.001783,0.001783,0.001783
85,8064.44,0.98887,1.69859,1.29718,0.1894,0.32417,0.16928,0.12021,1.29373,2.30939,1.5055,0.001684,0.001684,0.001684
86,8159.21,1.00254,1.69101,1.31379,0.19413,0.2933,0.17232,0.12399,1.30382,2.30852,1.47778,0.001585,0.001585,0.001585
87,8253.88,0.9809,1.66857,1.29674,0.18501,0.32861,0.17375,0.12508,1.30833,2.36246,1.50012,0.001486,0.001486,0.001486
88,8348.66,0.98647,1.64426,1.28419,0.18295,0.3249,0.16726,0.11915,1.3085,2.32057,1.4943,0.001387,0.001387,0.001387
89,8443.34,0.96108,1.63708,1.28404,0.18916,0.29267,0.17111,0.12212,1.31202,2.31988,1.50431,0.001288,0.001288,0.001288
